adequate_n,and_k,and_lcb,and_rate,eligible,env,gamma,meta_k,onset_n,onset_rate,or_k,or_lcb,or_rate,r_pass,r_strong,rec_k,robust_and_pass,robust_or_pass,sweep_id,theta_lead,theta_rec
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.15,0.1,0,False,False,13,0.0,0.0
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.15,0.1,0,False,False,13,0.0,0.0
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,27,0.8878674959110234,0.9642857142857143,0.15,0.1,10,True,True,13,0.0,0.0
82,16,0.15290477174457925,0.20512820512820512,True,EnvA_grid,0.25,64,78,0.9512195121951219,68,0.8155102698885641,0.8717948717948718,0.15,0.1,20,True,True,13,0.0,0.0
64,15,0.173687095497826,0.234375,True,EnvA_grid,0.0,51,64,1.0,55,0.7946652982505275,0.859375,0.15,0.1,19,True,True,13,0.0,0.0
97,18,0.29751894235568155,0.3829787234042553,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.15,0.1,22,True,True,13,0.0,0.0
99,20,0.3225805677555239,0.40816326530612246,True,EnvB_continuous,0.75,35,49,0.494949494949495,39,0.7131100435265598,0.7959183673469388,0.15,0.1,24,True,True,13,0.0,0.0
100,11,0.1400331747986407,0.2,True,EnvB_continuous,0.5,21,55,0.55,29,0.44146467540311923,0.5272727272727272,0.15,0.1,19,True,True,13,0.0,0.0
100,1,0.005262467184461907,0.017543859649122806,True,EnvB_continuous,0.25,8,57,0.57,15,0.19580020168294265,0.2631578947368421,0.15,0.1,8,False,True,13,0.0,0.0
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.15,0.1,0,False,False,13,0.0,0.0
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.15,0.1,0,False,False,14,0.0,-0.05
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.15,0.1,0,False,False,14,0.0,-0.05
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,28,0.9445936958778129,1.0,0.15,0.1,11,True,True,14,0.0,-0.05
82,18,0.17556346140785684,0.23076923076923078,True,EnvA_grid,0.25,64,78,0.9512195121951219,69,0.8301242245733,0.8846153846153846,0.15,0.1,23,True,True,14,0.0,-0.05
64,19,0.2295105493240862,0.296875,True,EnvA_grid,0.0,51,64,1.0,55,0.7946652982505275,0.859375,0.15,0.1,23,True,True,14,0.0,-0.05
97,20,0.33716090476110194,0.425531914893617,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.15,0.1,24,True,True,14,0.0,-0.05
99,22,0.36104613511274986,0.4489795918367347,True,EnvB_continuous,0.75,35,49,0.494949494949495,40,0.7355848879945421,0.8163265306122449,0.15,0.1,27,True,True,14,0.0,-0.05
100,12,0.15555226696222108,0.21818181818181817,True,EnvB_continuous,0.5,21,55,0.55,36,0.5689692006865533,0.6545454545454545,0.15,0.1,27,True,True,14,0.0,-0.05
100,3,0.025747221201327962,0.05263157894736842,True,EnvB_continuous,0.25,8,57,0.57,26,0.37400632636468545,0.45614035087719296,0.15,0.1,21,False,True,14,0.0,-0.05
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.15,0.1,0,False,False,14,0.0,-0.05
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.15,0.1,0,False,False,15,-0.05,0.0
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.15,0.1,0,False,False,15,-0.05,0.0
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,27,0.8878674959110234,0.9642857142857143,0.15,0.1,10,True,True,15,-0.05,0.0
82,17,0.16419360839751446,0.21794871794871795,True,EnvA_grid,0.25,69,78,0.9512195121951219,72,0.8751044361896119,0.9230769230769231,0.15,0.1,20,True,True,15,-0.05,0.0
64,17,0.20138197927379814,0.265625,True,EnvA_grid,0.0,56,64,1.0,58,0.8488728979781099,0.90625,0.15,0.1,19,True,True,15,-0.05,0.0
97,18,0.29751894235568155,0.3829787234042553,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.15,0.1,22,True,True,15,-0.05,0.0
99,21,0.34173854174429663,0.42857142857142855,True,EnvB_continuous,0.75,39,49,0.494949494949495,42,0.7814879935646029,0.8571428571428571,0.15,0.1,24,True,True,15,-0.05,0.0
100,13,0.1712617437088474,0.23636363636363636,True,EnvB_continuous,0.5,28,55,0.55,34,0.5319562784077705,0.6181818181818182,0.15,0.1,19,True,True,15,-0.05,0.0
100,4,0.03780202958398861,0.07017543859649122,True,EnvB_continuous,0.25,19,57,0.57,23,0.3240637390722532,0.40350877192982454,0.15,0.1,8,False,True,15,-0.05,0.0
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.15,0.1,0,False,False,15,-0.05,0.0
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.15,0.1,0,False,False,16,-0.05,-0.05
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.15,0.1,0,False,False,16,-0.05,-0.05
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,28,0.9445936958778129,1.0,0.15,0.1,11,True,True,16,-0.05,-0.05
82,20,0.19852819314210207,0.2564102564102564,True,EnvA_grid,0.25,69,78,0.9512195121951219,72,0.8751044361896119,0.9230769230769231,0.15,0.1,23,True,True,16,-0.05,-0.05
64,21,0.25803187818560674,0.328125,True,EnvA_grid,0.0,56,64,1.0,58,0.8488728979781099,0.90625,0.15,0.1,23,True,True,16,-0.05,-0.05
97,20,0.33716090476110194,0.425531914893617,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.15,0.1,24,True,True,16,-0.05,-0.05
99,24,0.4001021759668603,0.4897959183673469,True,EnvB_continuous,0.75,39,49,0.494949494949495,42,0.7814879935646029,0.8571428571428571,0.15,0.1,27,True,True,16,-0.05,-0.05
100,16,0.21939615774534105,0.2909090909090909,True,EnvB_continuous,0.5,28,55,0.55,39,0.6254525817378708,0.7090909090909091,0.15,0.1,27,True,True,16,-0.05,-0.05
100,6,0.06378307411801679,0.10526315789473684,True,EnvB_continuous,0.25,19,57,0.57,34,0.5116414098330311,0.5964912280701754,0.15,0.1,21,False,True,16,-0.05,-0.05
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.15,0.1,0,False,False,16,-0.05,-0.05
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.2,0.05,0,False,False,17,0.0,0.0
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.2,0.05,0,False,False,17,0.0,0.0
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,27,0.8878674959110234,0.9642857142857143,0.2,0.05,10,True,True,17,0.0,0.0
82,16,0.15290477174457925,0.20512820512820512,True,EnvA_grid,0.25,64,78,0.9512195121951219,68,0.8155102698885641,0.8717948717948718,0.2,0.05,20,True,True,17,0.0,0.0
64,15,0.173687095497826,0.234375,True,EnvA_grid,0.0,51,64,1.0,55,0.7946652982505275,0.859375,0.2,0.05,19,True,True,17,0.0,0.0
97,18,0.29751894235568155,0.3829787234042553,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.2,0.05,22,True,True,17,0.0,0.0
99,20,0.3225805677555239,0.40816326530612246,True,EnvB_continuous,0.75,35,49,0.494949494949495,39,0.7131100435265598,0.7959183673469388,0.2,0.05,24,True,True,17,0.0,0.0
100,11,0.1400331747986407,0.2,True,EnvB_continuous,0.5,21,55,0.55,29,0.44146467540311923,0.5272727272727272,0.2,0.05,19,True,True,17,0.0,0.0
100,1,0.005262467184461907,0.017543859649122806,True,EnvB_continuous,0.25,8,57,0.57,15,0.19580020168294265,0.2631578947368421,0.2,0.05,8,False,False,17,0.0,0.0
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.2,0.05,0,False,False,17,0.0,0.0
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.2,0.05,0,False,False,18,0.0,-0.05
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.2,0.05,0,False,False,18,0.0,-0.05
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,28,0.9445936958778129,1.0,0.2,0.05,11,True,True,18,0.0,-0.05
82,18,0.17556346140785684,0.23076923076923078,True,EnvA_grid,0.25,64,78,0.9512195121951219,69,0.8301242245733,0.8846153846153846,0.2,0.05,23,True,True,18,0.0,-0.05
64,19,0.2295105493240862,0.296875,True,EnvA_grid,0.0,51,64,1.0,55,0.7946652982505275,0.859375,0.2,0.05,23,True,True,18,0.0,-0.05
97,20,0.33716090476110194,0.425531914893617,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.2,0.05,24,True,True,18,0.0,-0.05
99,22,0.36104613511274986,0.4489795918367347,True,EnvB_continuous,0.75,35,49,0.494949494949495,40,0.7355848879945421,0.8163265306122449,0.2,0.05,27,True,True,18,0.0,-0.05
100,12,0.15555226696222108,0.21818181818181817,True,EnvB_continuous,0.5,21,55,0.55,36,0.5689692006865533,0.6545454545454545,0.2,0.05,27,True,True,18,0.0,-0.05
100,3,0.025747221201327962,0.05263157894736842,True,EnvB_continuous,0.25,8,57,0.57,26,0.37400632636468545,0.45614035087719296,0.2,0.05,21,False,True,18,0.0,-0.05
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.2,0.05,0,False,False,18,0.0,-0.05
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.2,0.05,0,False,False,19,-0.05,0.0
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.2,0.05,0,False,False,19,-0.05,0.0
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,27,0.8878674959110234,0.9642857142857143,0.2,0.05,10,True,True,19,-0.05,0.0
82,17,0.16419360839751446,0.21794871794871795,True,EnvA_grid,0.25,69,78,0.9512195121951219,72,0.8751044361896119,0.9230769230769231,0.2,0.05,20,True,True,19,-0.05,0.0
64,17,0.20138197927379814,0.265625,True,EnvA_grid,0.0,56,64,1.0,58,0.8488728979781099,0.90625,0.2,0.05,19,True,True,19,-0.05,0.0
97,18,0.29751894235568155,0.3829787234042553,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.2,0.05,22,True,True,19,-0.05,0.0
99,21,0.34173854174429663,0.42857142857142855,True,EnvB_continuous,0.75,39,49,0.494949494949495,42,0.7814879935646029,0.8571428571428571,0.2,0.05,24,True,True,19,-0.05,0.0
100,13,0.1712617437088474,0.23636363636363636,True,EnvB_continuous,0.5,28,55,0.55,34,0.5319562784077705,0.6181818181818182,0.2,0.05,19,True,True,19,-0.05,0.0
100,4,0.03780202958398861,0.07017543859649122,True,EnvB_continuous,0.25,19,57,0.57,23,0.3240637390722532,0.40350877192982454,0.2,0.05,8,False,True,19,-0.05,0.0
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.2,0.05,0,False,False,19,-0.05,0.0
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.2,0.05,0,False,False,20,-0.05,-0.05
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.2,0.05,0,False,False,20,-0.05,-0.05
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,28,0.9445936958778129,1.0,0.2,0.05,11,True,True,20,-0.05,-0.05
82,20,0.19852819314210207,0.2564102564102564,True,EnvA_grid,0.25,69,78,0.9512195121951219,72,0.8751044361896119,0.9230769230769231,0.2,0.05,23,True,True,20,-0.05,-0.05
64,21,0.25803187818560674,0.328125,True,EnvA_grid,0.0,56,64,1.0,58,0.8488728979781099,0.90625,0.2,0.05,23,True,True,20,-0.05,-0.05
97,20,0.33716090476110194,0.425531914893617,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.2,0.05,24,True,True,20,-0.05,-0.05
99,24,0.4001021759668603,0.4897959183673469,True,EnvB_continuous,0.75,39,49,0.494949494949495,42,0.7814879935646029,0.8571428571428571,0.2,0.05,27,True,True,20,-0.05,-0.05
100,16,0.21939615774534105,0.2909090909090909,True,EnvB_continuous,0.5,28,55,0.55,39,0.6254525817378708,0.7090909090909091,0.2,0.05,27,True,True,20,-0.05,-0.05
100,6,0.06378307411801679,0.10526315789473684,True,EnvB_continuous,0.25,19,57,0.57,34,0.5116414098330311,0.5964912280701754,0.2,0.05,21,True,True,20,-0.05,-0.05
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.2,0.05,0,False,False,20,-0.05,-0.05
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.2,0.1,0,False,False,21,0.0,0.0
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.2,0.1,0,False,False,21,0.0,0.0
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,27,0.8878674959110234,0.9642857142857143,0.2,0.1,10,True,True,21,0.0,0.0
82,16,0.15290477174457925,0.20512820512820512,True,EnvA_grid,0.25,64,78,0.9512195121951219,68,0.8155102698885641,0.8717948717948718,0.2,0.1,20,True,True,21,0.0,0.0
64,15,0.173687095497826,0.234375,True,EnvA_grid,0.0,51,64,1.0,55,0.7946652982505275,0.859375,0.2,0.1,19,True,True,21,0.0,0.0
97,18,0.29751894235568155,0.3829787234042553,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.2,0.1,22,True,True,21,0.0,0.0
99,20,0.3225805677555239,0.40816326530612246,True,EnvB_continuous,0.75,35,49,0.494949494949495,39,0.7131100435265598,0.7959183673469388,0.2,0.1,24,True,True,21,0.0,0.0
100,11,0.1400331747986407,0.2,True,EnvB_continuous,0.5,21,55,0.55,29,0.44146467540311923,0.5272727272727272,0.2,0.1,19,True,True,21,0.0,0.0
100,1,0.005262467184461907,0.017543859649122806,True,EnvB_continuous,0.25,8,57,0.57,15,0.19580020168294265,0.2631578947368421,0.2,0.1,8,False,False,21,0.0,0.0
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.2,0.1,0,False,False,21,0.0,0.0
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.2,0.1,0,False,False,22,0.0,-0.05
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.2,0.1,0,False,False,22,0.0,-0.05
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,28,0.9445936958778129,1.0,0.2,0.1,11,True,True,22,0.0,-0.05
82,18,0.17556346140785684,0.23076923076923078,True,EnvA_grid,0.25,64,78,0.9512195121951219,69,0.8301242245733,0.8846153846153846,0.2,0.1,23,True,True,22,0.0,-0.05
64,19,0.2295105493240862,0.296875,True,EnvA_grid,0.0,51,64,1.0,55,0.7946652982505275,0.859375,0.2,0.1,23,True,True,22,0.0,-0.05
97,20,0.33716090476110194,0.425531914893617,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.2,0.1,24,True,True,22,0.0,-0.05
99,22,0.36104613511274986,0.4489795918367347,True,EnvB_continuous,0.75,35,49,0.494949494949495,40,0.7355848879945421,0.8163265306122449,0.2,0.1,27,True,True,22,0.0,-0.05
100,12,0.15555226696222108,0.21818181818181817,True,EnvB_continuous,0.5,21,55,0.55,36,0.5689692006865533,0.6545454545454545,0.2,0.1,27,True,True,22,0.0,-0.05
100,3,0.025747221201327962,0.05263157894736842,True,EnvB_continuous,0.25,8,57,0.57,26,0.37400632636468545,0.45614035087719296,0.2,0.1,21,False,True,22,0.0,-0.05
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.2,0.1,0,False,False,22,0.0,-0.05
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.2,0.1,0,False,False,23,-0.05,0.0
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.2,0.1,0,False,False,23,-0.05,0.0
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,27,0.8878674959110234,0.9642857142857143,0.2,0.1,10,True,True,23,-0.05,0.0
82,17,0.16419360839751446,0.21794871794871795,True,EnvA_grid,0.25,69,78,0.9512195121951219,72,0.8751044361896119,0.9230769230769231,0.2,0.1,20,True,True,23,-0.05,0.0
64,17,0.20138197927379814,0.265625,True,EnvA_grid,0.0,56,64,1.0,58,0.8488728979781099,0.90625,0.2,0.1,19,True,True,23,-0.05,0.0
97,18,0.29751894235568155,0.3829787234042553,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.2,0.1,22,True,True,23,-0.05,0.0
99,21,0.34173854174429663,0.42857142857142855,True,EnvB_continuous,0.75,39,49,0.494949494949495,42,0.7814879935646029,0.8571428571428571,0.2,0.1,24,True,True,23,-0.05,0.0
100,13,0.1712617437088474,0.23636363636363636,True,EnvB_continuous,0.5,28,55,0.55,34,0.5319562784077705,0.6181818181818182,0.2,0.1,19,True,True,23,-0.05,0.0
100,4,0.03780202958398861,0.07017543859649122,True,EnvB_continuous,0.25,19,57,0.57,23,0.3240637390722532,0.40350877192982454,0.2,0.1,8,False,True,23,-0.05,0.0
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.2,0.1,0,False,False,23,-0.05,0.0
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.2,0.1,0,False,False,24,-0.05,-0.05
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.2,0.1,0,False,False,24,-0.05,-0.05
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,28,0.9445936958778129,1.0,0.2,0.1,11,True,True,24,-0.05,-0.05
82,20,0.19852819314210207,0.2564102564102564,True,EnvA_grid,0.25,69,78,0.9512195121951219,72,0.8751044361896119,0.9230769230769231,0.2,0.1,23,True,True,24,-0.05,-0.05
64,21,0.25803187818560674,0.328125,True,EnvA_grid,0.0,56,64,1.0,58,0.8488728979781099,0.90625,0.2,0.1,23,True,True,24,-0.05,-0.05
97,20,0.33716090476110194,0.425531914893617,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.2,0.1,24,True,True,24,-0.05,-0.05
99,24,0.4001021759668603,0.4897959183673469,True,EnvB_continuous,0.75,39,49,0.494949494949495,42,0.7814879935646029,0.8571428571428571,0.2,0.1,27,True,True,24,-0.05,-0.05
100,16,0.21939615774534105,0.2909090909090909,True,EnvB_continuous,0.5,28,55,0.55,39,0.6254525817378708,0.7090909090909091,0.2,0.1,27,True,True,24,-0.05,-0.05
100,6,0.06378307411801679,0.10526315789473684,True,EnvB_continuous,0.25,19,57,0.57,34,0.5116414098330311,0.5964912280701754,0.2,0.1,21,False,True,24,-0.05,-0.05
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.2,0.1,0,False,False,24,-0.05,-0.05
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.25,0.05,0,False,False,25,0.0,0.0
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.25,0.05,0,False,False,25,0.0,0.0
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,27,0.8878674959110234,0.9642857142857143,0.25,0.05,10,True,True,25,0.0,0.0
82,16,0.15290477174457925,0.20512820512820512,True,EnvA_grid,0.25,64,78,0.9512195121951219,68,0.8155102698885641,0.8717948717948718,0.25,0.05,20,True,True,25,0.0,0.0
64,15,0.173687095497826,0.234375,True,EnvA_grid,0.0,51,64,1.0,55,0.7946652982505275,0.859375,0.25,0.05,19,True,True,25,0.0,0.0
97,18,0.29751894235568155,0.3829787234042553,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.25,0.05,22,True,True,25,0.0,0.0
99,20,0.3225805677555239,0.40816326530612246,True,EnvB_continuous,0.75,35,49,0.494949494949495,39,0.7131100435265598,0.7959183673469388,0.25,0.05,24,True,True,25,0.0,0.0
100,11,0.1400331747986407,0.2,True,EnvB_continuous,0.5,21,55,0.55,29,0.44146467540311923,0.5272727272727272,0.25,0.05,19,True,True,25,0.0,0.0
100,1,0.005262467184461907,0.017543859649122806,True,EnvB_continuous,0.25,8,57,0.57,15,0.19580020168294265,0.2631578947368421,0.25,0.05,8,False,False,25,0.0,0.0
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.25,0.05,0,False,False,25,0.0,0.0
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.25,0.05,0,False,False,26,0.0,-0.05
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.25,0.05,0,False,False,26,0.0,-0.05
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,28,0.9445936958778129,1.0,0.25,0.05,11,True,True,26,0.0,-0.05
82,18,0.17556346140785684,0.23076923076923078,True,EnvA_grid,0.25,64,78,0.9512195121951219,69,0.8301242245733,0.8846153846153846,0.25,0.05,23,True,True,26,0.0,-0.05
